model,criterion,requested_coverage,coverage,accepted_n,referred_n,risk,accepted_acc,accepted_f1,accepted_acc_ci_low,accepted_acc_ci_high
classical_control,free_energy,0.85,0.85,510,90,0.13137254901960782,0.8686274509803922,0.8917609046849758,0.8365338314734606,0.8952093814291125
classical_control,entropy,0.9,0.9,540,60,0.14814814814814814,0.8518518518518519,0.8765432098765432,0.8194065415545686,0.8793265061686042
classical_control,free_energy,0.9,0.9,540,60,0.14814814814814814,0.8518518518518519,0.8765432098765432,0.8194065415545686,0.8793265061686042
classical_control,entropy,0.9500000000000001,0.95,570,30,0.16842105263157892,0.8315789473684211,0.8584070796460177,0.7986591342945353,0.8600593918587174
classical_control,free_energy,0.9500000000000001,0.95,570,30,0.16842105263157892,0.8315789473684211,0.8584070796460177,0.7986591342945353,0.8600593918587174
classical_control,entropy,1.0,1.0,600,0,0.19499999999999995,0.805,0.8349788434414669,0.7713990928560017,0.834720269525641
classical_control,free_energy,1.0,1.0,600,0,0.19499999999999995,0.805,0.8349788434414669,0.7713990928560017,0.834720269525641
hybrid_quantum,entropy,0.1,0.1,60,540,0.08333333333333337,0.9166666666666666,0.9565217391304348,0.8193105798166558,0.9638795433982692
hybrid_quantum,free_energy,0.1,0.1,60,540,0.08333333333333337,0.9166666666666666,0.9565217391304348,0.8193105798166558,0.9638795433982692
hybrid_quantum,entropy,0.15000000000000002,0.15,90,510,0.07777777777777772,0.9222222222222223,0.9595375722543352,0.8480613981740798,0.9618151846827111
hybrid_quantum,free_energy,0.15000000000000002,0.15,90,510,0.07777777777777772,0.9222222222222223,0.9595375722543352,0.8480613981740798,0.9618151846827111
hybrid_quantum,entropy,0.2,0.2,120,480,0.09999999999999998,0.9,0.9473684210526315,0.833318258891048,0.9418664079739892
hybrid_quantum,free_energy,0.2,0.2,120,480,0.09999999999999998,0.9,0.9473684210526315,0.833318258891048,0.9418664079739892
hybrid_quantum,entropy,0.25,0.25,150,450,0.09333333333333338,0.9066666666666666,0.951048951048951,0.8494360687243842,0.9435881325229135
hybrid_quantum,free_energy,0.25,0.25,150,450,0.09333333333333338,0.9066666666666666,0.951048951048951,0.8494360687243842,0.9435881325229135
hybrid_quantum,entropy,0.30000000000000004,0.3,180,420,0.0888888888888889,0.9111111111111111,0.9534883720930233,0.860496082186412,0.9445453973002615
hybrid_quantum,free_energy,0.30000000000000004,0.3,180,420,0.0888888888888889,0.9111111111111111,0.9534883720930233,0.860496082186412,0.9445453973002615
hybrid_quantum,entropy,0.35,0.35,210,390,0.09999999999999998,0.9,0.9473684210526315,0.8519683553183302,0.9336604040742433
hybrid_quantum,free_energy,0.35,0.35,210,390,0.09999999999999998,0.9,0.9473684210526315,0.8519683553183302,0.9336604040742433
hybrid_quantum,entropy,0.4,0.4,240,360,0.11250000000000004,0.8875,0.9403973509933775,0.8412680944383407,0.9215226176069512
hybrid_quantum,free_energy,0.4,0.4,240,360,0.11250000000000004,0.8875,0.9403973509933775,0.8412680944383407,0.9215226176069512
hybrid_quantum,entropy,0.45000000000000007,0.45,270,330,0.12592592592592589,0.8740740740740741,0.932806324110672,0.829183351723403,0.908469744597069
hybrid_quantum,free_energy,0.45000000000000007,0.45,270,330,0.12592592592592589,0.8740740740740741,0.932806324110672,0.829183351723403,0.908469744597069
hybrid_quantum,entropy,0.5,0.5,300,300,0.1266666666666667,0.8733333333333333,0.9323843416370107,0.8309188299507383,0.9063077515349339
hybrid_quantum,free_energy,0.5,0.5,300,300,0.13,0.87,0.93048128342246,0.8272195707065882,0.9034246305872476
hybrid_quantum,entropy,0.55,0.55,330,270,0.1454545454545455,0.8545454545454545,0.9215686274509803,0.8124274213802974,0.8885040951144262
hybrid_quantum,free_energy,0.55,0.55,330,270,0.14848484848484844,0.8515151515151516,0.9198036006546645,0.8091134274632542,0.8858272213691215
hybrid_quantum,entropy,0.6,0.6,360,240,0.1777777777777778,0.8222222222222222,0.9024390243902439,0.7793882778981093,0.8582520854402881
hybrid_quantum,free_energy,0.6,0.6,360,240,0.1777777777777778,0.8222222222222222,0.9024390243902439,0.7793882778981093,0.8582520854402881
hybrid_quantum,entropy,0.65,0.65,390,210,0.1923076923076923,0.8076923076923077,0.8936170212765957,0.7656523883433473,0.8437298760801293
hybrid_quantum,free_energy,0.65,0.65,390,210,0.1923076923076923,0.8076923076923077,0.8936170212765957,0.7656523883433473,0.8437298760801293
hybrid_quantum,entropy,0.7000000000000001,0.7,420,180,0.22142857142857142,0.7785714285714286,0.8755020080321285,0.7364373723884556,0.8156558575921291
hybrid_quantum,free_energy,0.7000000000000001,0.7,420,180,0.22142857142857142,0.7785714285714286,0.8755020080321285,0.7364373723884556,0.8156558575921291
hybrid_quantum,entropy,0.75,0.75,450,150,0.24222222222222223,0.7577777777777778,0.8621997471554994,0.7161193942909693,0.7950723346507881
